CNPJ_FUNDO,nomeAbreviado,kpi,annualized_return,retorno_1_ano,annualized_sharpe,classe,txa_adm_%aa,patrimonio,idade,retorno_3_anos,retorno_5_anos,retorno_10_anos
05.322.696/0001-96,COUGAR FIC FIA,9.33,0.184527755776018,0.3432967830663682,0.8745537579138297,FIC FI,0.06,324739094.12,16.0,1.2787858791835096,1.7331994459434932,3.4049330547392502
13.199.100/0001-30,SANTANDER FI COLABORADORES MAGAZINE LUIZA AÇÕES,9.17,1.1064249853246797,0.1217429986253335,0.9186090293585186,Fundo de Ações,0.3,31535867.76,10.0,4.566216229227299,125.41305050933312,45.39796011126978
22.150.568/0001-21,FIC FIM CP VIC CPHY,9.14,0.1297370163862758,0.0974635467771578,29.5189492100925,Fundo Multimercado,0.03,186929155.55,6.0,0.3869819431649564,0.9088220257228152,0.0
04.061.044/0001-82,BB CAMBIAL DÓLAR LP VIP FIC FI,9.1,0.0817011492382236,0.0216871787014292,0.531523218488923,Fundo Cambial,0.8,470505490.63,20.0,0.4559152634516021,0.788290793178273,3.025624577738939
17.400.251/0001-66,ORGANON FIC FIA,9.04,0.4496774795784939,0.9043885456709816,0.9294624203429592,Fundo de Ações,0.0,106300880.44,8.0,1.41331661019042,7.597910368976006,0.0
04.882.647/0001-45,BRADESCO FMP-FGTS VALE DO RIO DOCE PRIVATE,9.01,0.2150410655849475,1.1220366801386827,0.5408119636897405,Fundo de FGTS,0.8,184017605.43,19.0,1.6077154234910087,6.842409797456937,2.250369706057077
04.889.791/0001-03,SANTANDER FMP-FGTS VALE II,8.92,0.2157737193093199,1.1285467578404664,0.5418906767322031,Fundo de FGTS,0.8,239763500.45,19.0,1.602305670701052,6.722750669266839,2.2809638873149747
04.881.158/0001-79,ITAUBANCO FMP-FGTS VALE DO RIO DOCE,8.92,0.2161180064152507,1.1272450622260548,0.5417067453944674,Fundo de FGTS,0.8,291336723.95,19.0,1.602676019012284,6.7254565253723415,2.2886787749079
17.502.937/0001-68,FIA CAIXA INSTITUCIONAL BDR NÍVEL I,8.89,0.2372187549502167,0.3447322102087,1.2974085149510797,Fundo de Ações,0.7,3108345136.2,8.0,1.230132986636844,2.3681924566290204,0.0
14.466.786/0001-41,RED PORTFOLIO FIM CP,8.86,0.1090824328269325,0.0519091518437286,42.42475765490075,Fundo Multimercado,0.03,59509266.04,9.0,0.2351411017424298,0.5860022811403764,0.0
12.766.824/0001-56,CFO ESTRUTURADO FIM CP,8.79,0.104539155143433,0.071049812975602,13.209760650449429,Fundo Multimercado,0.53,646988195.53,10.0,0.2421814853488417,0.5641089640529937,1.8544324848695988
20.077.065/0001-42,MAPFRE FI CAMBIAL,8.79,0.1356595065894815,0.0215744835081421,0.9107923371537198,Fundo Cambial,0.17,12970911.71,7.0,0.4411945927109495,0.7036876921442883,0.0
07.907.396/0001-02,SANTANDER FIC FI RF REF DI,8.74,0.0911308159516015,0.0327287267529248,39.22881317878336,Fundo de Renda Fixa,0.15,4849087569.25,15.0,0.1362948623211557,0.3730684571101474,1.30371294961457
08.418.151/0001-76,ITAÚ FLEXPREV RF REF DI FI,8.72,0.0860228402407102,0.0236939963208098,43.18888245404091,Fundo de Renda Fixa,0.0,14031565273.13,14.0,0.1357356355337333,0.3708540247884582,1.2809647626488712
19.436.835/0001-17,SAFRA CONSUMO AMERICANO FIC FIA BDR-NÍVEL I,8.69,0.2816267571850595,0.3827668382658733,1.419782158678476,Fundo de Ações,1.0,2112275439.64,7.0,1.195360284003209,2.556570178942282,0.0
06.918.966/0001-99,TNA FIC FIA,8.65,0.1913389870595962,0.2681110187630633,1.0001831250591269,FIC FI,1.05,1210868481.87,0.0,1.121765135724245,1.6971049622053649,3.542110910302884
13.554.172/0001-59,CREDITO UNIVERSITÁRIO FIM CP,8.63,0.1013526801723906,0.0454124754150708,32.02525577345531,Fundo Multimercado,0.03,54058509.16,10.0,0.2166810094158064,0.5513846671258427,0.0
03.069.104/0001-40,SANTANDER RF REF DI PREMIUM FIC FI,8.58,0.1004922653414105,0.0321693353740193,36.646688997878,Fundo de Renda Fixa,0.2,5888501719.97,22.0,0.1345057185483762,0.3695705561572977,1.292940544218994
08.009.152/0001-67,ITAÚ EMPRESA RF REF DI VIP FIC FI,8.57,0.091658233640068,0.0273381450135461,39.58538885775108,Fundo de Renda Fixa,0.18,2845680024.81,15.0,0.132821847969053,0.365423344933796,1.2848250894248006
01.599.628/0001-18,ITAÚ CORP PLUS RF REF DI FIC FI,8.54,0.1007431595484142,0.0273578535231577,37.68726589358192,Fundo de Renda Fixa,0.18,6236231126.91,24.0,0.1328645996597581,0.3654788850710979,1.2849458994128975
10.362.043/0001-70,SANTANDER FI VIP CAMBIAL,8.49,0.1017816241866575,0.0088110801997054,0.7343789848297375,Fundo Cambial,0.5,546524162.06,12.0,0.4362011748281091,0.7156637716336987,2.7900374942576778
03.848.524/0001-25,SAFRA CONSUMO FIC FIA,8.48,0.1771876733232276,0.1458686285768362,0.6859384823868668,FIC FI,1.5,532210219.55,4.0,1.121361737290305,1.7992085509505549,2.9818215818969245
04.892.367/0001-18,ALFA II FMP-FGTS VALE DO RIO DOCE,8.47,0.2139018716796565,1.116552288977338,0.5407461098149531,Fundo de FGTS,0.7,64685153.67,19.0,1.5874393460465313,6.651232040982279,2.28761500191372
13.401.215/0001-66,BRADESCO FIA BDR NÍVEL I,8.46,0.2309629816443603,0.3191643033381437,1.3577859071309235,Fundo de Ações,1.5,784708678.54,9.0,1.0349734649741054,2.043662297704435,0.0
02.224.354/0001-45,SANTANDER RF REF DI INSTITUCIONAL PREMIUM FIC FUNDOS,8.45,0.0993757355939283,0.0283824910855057,37.54749390467558,Fundo de Renda Fixa,0.2,1728395337.93,23.0,0.1298546860039149,0.3654977785913227,1.274742145130869
21.329.166/0001-26,VISTA FIC FIA,8.44,0.2322987840057328,0.2622038966750046,1.0194271070142775,Fundo de Ações,0.0,550067674.85,6.0,1.1623815122138257,1.930255681241654,0.0
18.770.648/0001-02,SAFRA FIC FIA BDR-NÍVEL I,8.43,0.2165452385115699,0.3796468774888402,1.2585346756601608,Fundo de Ações,1.0,475491250.26,7.0,1.0454940429749024,2.2270990483448343,0.0
19.436.818/0001-80,SAFRA CONSUMO AMERICANO FIA BDR-NÍVEL I PB,8.43,0.2944164404396094,0.3971961444794505,1.475100273481167,Fundo de Ações,1.5,3341496507.82,7.0,1.264506905491257,2.746908073147398,0.0
19.831.126/0001-36,WESTERN ASSET FIA BDR NÍVEL I,8.42,0.2988493369817508,0.3606753350158165,1.537625703341262,Fundo de Ações,1.5,3664400327.67,7.0,1.4083149159547896,2.567377426850046,0.0
08.915.927/0001-63,BEM FI RF SIMPLES TPF,8.4,0.0856451676133632,0.0210647535964518,40.71450574602776,Fundo de Renda Fixa,0.0,8804967995.99,13.0,0.130560679310532,0.3619828670625207,1.2577863706496348
04.018.864/0001-91,AAA AÇÕES FIC FIA,8.4,0.1752791944279831,0.2525915217905994,1.0416178940713428,FIC FI,1.5,45733402.74,3.0,0.8266779187754627,1.245012802606773,2.5869198521283385
10.601.349/0001-32,BRAM FI RF REF DI FEDERAL II,8.39,0.0834743645280858,0.0216647707143651,39.97063231841985,Fundo de Renda Fixa,0.0,7043672931.02,12.0,0.1321807532227599,0.3655584351662111,1.2717174715669888
21.940.710/0001-71,MANAGER SHARP LS 2X FIC FIM,8.37,0.1200620657175198,0.0517485575409715,3.196791112233601,Fundo Multimercado,0.0,303544495.77,6.0,0.4084921595922439,0.7773187609478842,0.0
08.323.402/0001-39,BOGARI VALUE FIC FIA,8.36,0.2241294210612994,0.3824954810250021,1.126494249012124,Fundo de Ações,2.0,2249590423.29,13.0,1.4935055717257957,2.1477813129780623,4.432079412233128
01.129.004/0001-37,ITAÚ EMPRESA TRUST RF REF DI FIC FI,8.36,0.0998459772022118,0.0266738207008738,37.524699374167646,Fundo de Renda Fixa,0.25,13872551116.57,25.0,0.1305495347585581,0.3608048628121678,1.26888712855262
07.900.255/0001-50,ICATU VANGUARDA CP FI RF LP,8.34,0.0942789385956229,0.043383891759348,32.25587897311847,Fundo de Renda Fixa,0.35,1554431453.52,15.0,0.1572551278717813,0.403826809532767,1.374952376622267
08.070.841/0001-87,FIC FI CAIXA ALOCAÇÃO MACRO MULT LP,8.33,0.0881401049886757,0.0731195858358537,3.013411340055648,Fundo Multimercado,0.5,4459672964.6,14.0,0.3409906124380344,0.621001766943053,1.5446775243192483
03.737.206/0001-97,FI CAIXA BRASIL RF REF DI LP,8.3,0.0871681403589802,0.0241301405444946,39.83564390764858,Fundo de Renda Fixa,0.2,5936625690.42,15.0,0.1286904880103543,0.3592295465773139,1.2670530571399738
12.332.239/0001-48,PILOTIS FIA,8.28,0.3235427854972866,0.2829552277260059,2.30898989663006,Fundo de Ações,1.75,65246001.17,5.0,1.4166197824315327,3.1061930029162177,0.0
11.419.818/0001-60,ITAÚ VERSO A RF REF DI FI,8.28,0.084018340898443,0.0228599482181277,37.6494822749252,Fundo de Renda Fixa,0.0,34484972690.27,10.0,0.1348041727944848,0.3692699291649393,1.2671695040976751
17.503.172/0001-80,FIA CAIXA BDR NÍVEL I,8.27,0.2268275927927379,0.3321913996022807,1.26060941121922,Fundo de Ações,1.5,853528583.01,8.0,1.1715253812463216,2.2220088308657067,0.0
01.615.744/0001-83,SANTANDER FI RF REF DI CP EQUILÍBRIOADVANCED FIC FI,8.27,0.0998508240288132,0.0367903282366433,32.31930972467358,Fundo de Renda Fixa,0.3,4581444018.49,24.0,0.1330699817781064,0.3703426636962461,1.2900312959006903
07.593.967/0001-73,BRASILPREV TOP TP FI RF CP,8.26,0.1016303571140029,0.0350190943031194,28.93192453204989,Fundo de Renda Fixa,0.0,21924229808.54,15.0,0.1539205464461162,0.4091998263518679,1.398817026616901
18.168.479/0001-35,SAFRA FIA BDR-NIVEL I PB,8.25,0.2286086955853387,0.3944072177244262,1.3166323208519075,Fundo de Ações,1.5,616062120.28,7.0,1.1125227338357933,2.409013749914017,0.0
04.128.893/0001-06,BB CAMBIAL DOLAR LP FIC FI,8.25,0.0767351343631084,0.0197194155075286,0.4578556964580239,Fundo Cambial,1.0,239369578.65,21.0,0.4464795724367454,0.7685264212699365,2.9348069896733846
07.192.409/0001-04,BRADESCO CORPORATE FIC FI RF REF DI TOP,8.23,0.088664168789668,0.0246816253651751,40.3501044261123,Fundo de Renda Fixa,0.25,5233264869.94,15.0,0.1256282296527704,0.3606845546933401,1.281143816188234
00.829.288/0001-01,ITAÚ PRIVATE RF REF DI EXCLUSIVE FIC FI,8.23,0.0995773192863101,0.0261174354664539,37.15139404750731,Fundo de Renda Fixa,0.3,2965898914.03,25.0,0.1287802679706577,0.3574188218792606,1.2574487458403518
07.658.922/0001-30,ITAÚ HEDGE MULTIMERCADO FI,8.22,0.11060257718365,0.0200842286613325,4.248940627713769,Fundo Multimercado,1.5,1273813676.97,15.0,0.2655278261312588,0.6196089619835023,1.6769725070132813
01.623.535/0001-81,ITAÚ CAMBIAL FIC FI,8.2,0.0727038687621501,0.0092391402264604,0.4490306399714897,Fundo Cambial,0.5,1034963633.52,23.0,0.4421726500671212,0.7206905784923359,2.7901901427358347
04.882.688/0001-31,BRADESCO FMP-FGTS VALE DO RIO DOCE PRIVATE I,8.18,0.2129718382544844,1.1178359142640972,0.5367999821182562,Fundo de FGTS,0.95,35581380.21,19.0,1.590066675994188,6.76082042943089,2.1707014620185365
04.890.401/0001-15,SAFRA FMP-FGTS VALE DO RIO DOCE,8.16,0.2139045106670236,1.1165425332123933,0.5402735577915252,Fundo de FGTS,0.0,78286493.44,19.0,1.5791610227208936,6.540486928979129,2.258844092900429
10.384.413/0001-70,FI CAIXA SAFIRA CORPORATIVO RF LP,8.15,0.0822480419365247,0.0209802154911085,37.31050982739435,Fundo de Renda Fixa,0.1,4354776390.5,12.0,0.132917586248132,0.3646206803971581,1.2599063041075929
19.391.009/0001-07,MANAGER SOLANA LONG AND SHORT FIC FIM,8.14,0.0987478776190795,0.0762509488220331,3.228528400934232,Fundo Multimercado,0.0,98950501.45,7.0,0.2591480017074992,0.5554420104480997,0.0
10.583.909/0001-73,BRADESCO FI RF CP MÁSTER,8.13,0.0861522388063711,0.0433559337388387,28.696176300090134,Fundo de Renda Fixa,0.0,13766354431.65,12.0,0.1450009865137194,0.3904119866330549,1.3826448840192498
09.145.075/0001-35,ITAÚ HEDGE 30 MULTIMERCADO FIC FI,8.13,0.1028061006909858,0.0199336246247001,4.501761020395147,Fundo Multimercado,1.5,198070465.04,12.0,0.2646518037512009,0.6178006059394645,1.673174305117453
09.298.405/0001-22,BRADESCO FIC FUNDOS INVESTIMENTO RF CP HIGH YIELD,8.12,0.089124822109443,0.0369652258392405,31.815216134136342,Fundo de Renda Fixa,0.2,10685489.36,13.0,0.1352572346923424,0.3773459517040645,1.3323358666184637
10.583.916/0001-75,BRADESCO FI RF FEDERAL MÁSTER,8.11,0.0810772659081601,0.0209306571726339,35.720946671145946,Fundo de Renda Fixa,0.0,16105756112.94,12.0,0.1320332108597819,0.3667387134951294,1.273656493193271
10.347.195/0001-02,SAFRA SOBERANO REGIME PRÓPRIO FIC FI RF REFERENC DI,8.11,0.0814664169101461,0.0212202676754962,39.95366832091732,Fundo de Renda Fixa,0.09,2709032397.51,12.0,0.1287006952433786,0.3565253593456421,1.2348988362922335
07.195.440/0001-90,E2M INTRUST FIA,8.1,0.1629183331181047,0.1392921649777594,0.693964774630035,Fundo de Ações,0.0,51167074.52,9.0,1.6405685078568544,2.6469574056543665,0.0
10.322.668/0001-09,FI CAIXA FIDELIDADE II RF CP LP,8.1,0.0859372945127056,0.0340411995934064,29.553055887533148,Fundo de Renda Fixa,0.05,1012570800.0,12.0,0.1442078342121171,0.3865260918527387,1.358787284239884
09.181.287/0001-78,FI CAIXA FIDELIDADE RF LP,8.09,0.0844268853628229,0.025415567890717,35.388791357413965,Fundo de Renda Fixa,0.2,632530950.38,13.0,0.1333299718954563,0.3657944411640768,1.266348591677931
17.335.646/0001-22,INDIE FIC FIA,8.09,0.1872709726457264,0.2535504070920285,0.90963716570894,Fundo de Ações,1.34,1360201159.11,8.0,1.1030826704401897,2.128094458794003,0.0
03.336.760/0001-62,ITAÚ SL RF REF DI FIC FI,8.07,0.0978435322820841,0.0206555241327868,38.16708074312102,Fundo de Renda Fixa,0.2,150719733.15,21.0,0.1269249398850365,0.3527774372366712,1.222604512453514
06.092.123/0001-86,DAYCOVAL MULTIFUNDS FI EM QUOTAS DE FIM,8.06,0.1056179609147075,0.0614531780474045,4.743975118153781,Fundo Multimercado,0.6,67096355.03,17.0,0.196445959959455,0.4938813648219373,1.515470938916673
00.598.452/0001-17,MB MASTER REF DI LP FI FINANCEIRO,8.01,0.1030375329867666,0.0260600096173846,8.91947667584858,0,0.3,35013422.49,9.0,0.1538837949672222,0.3976446308755439,1.3104781257956564
22.232.927/0001-90,TARPON GT FIC FIA,8.01,0.2897663420183119,0.4012422429332709,1.4397971493849313,Fundo de Ações,2.0,585924624.36,6.0,1.8842809946757155,3.3672509266273,0.0
13.176.277/0001-11,CLARITAS INFLAÇÃO INSTITUCIONAL FIM,7.99,0.1086306842443235,0.0493181373020856,3.1651925587127883,Fundo Multimercado,1.0,72287773.19,9.0,0.3358509400746263,0.6540174663911009,0.0
01.353.626/0001-44,AAA ALLOCATION FIC FIM,7.98,0.1151666304102129,0.0626558369731749,3.002521138023253,Fundo Multimercado,0.0,117664358.5,24.0,0.2399193834694348,0.5337428869806498,1.6698892162114518
13.396.703/0001-22,VINCI VALOREM FIM,7.98,0.0954414135675132,0.0503064094663561,3.2789695181527216,Fundo Multimercado,0.96,3051867397.66,9.0,0.2883924806937294,0.5662336400867334,0.0
04.894.403/0001-82,CA INDOSUEZ FMP-FGTS VALE DO RIO DOCE,7.97,0.2134389410380395,1.1195921277288914,0.537101649235347,Fundo de FGTS,0.55,52060167.77,19.0,1.573149502140132,6.550005059281176,2.171113076206404
09.577.447/0001-00,SANTANDER FIC FI SOBERANO RF REF DI,7.96,0.0839762512411696,0.0203678792693966,38.78651415243415,Fundo de Renda Fixa,0.2,4790906191.46,13.0,0.1270597819801244,0.3549179663312483,1.2324577196446382
09.501.881/0001-07,SICREDI FI RF SOBERANO ANS,7.95,0.0822729365660741,0.0196509706170895,40.23292453506728,Fundo de Renda Fixa,0.2,517074040.6,13.0,0.1257805203580992,0.3498067518887162,1.2102060483080814
11.351.449/0001-10,BB RF CURTO PRAZO CORPORATE ÁGIL FIC FI,7.94,0.0821286097102844,0.0217781975344162,40.34627741119362,Fundo de Renda Fixa,0.2,12513357772.77,11.0,0.1283610523060718,0.3545959989060605,1.2303208476723682
09.296.022/0001-15,MAPFRE FIA SMALL,7.93,0.20848471981437,0.5304799922789518,0.9777442788695612,Fundo de Ações,2.5,67205889.63,13.0,1.113460181994666,2.661626325963157,3.413104248973732
08.935.364/0001-75,SAFRA SOBERANO INSTITUCIONAL FIC FI RF SIMPLES,7.93,0.0866235934657031,0.0196176705004975,41.34979439476252,Fundo de Renda Fixa,0.15,1536828497.57,13.0,0.1231181003303367,0.3452951246003923,1.1974256043765767
09.075.440/0001-82,SANTANDER FI DEDICADO AO SETOR DE SAÚDE SUPLEMENTAR-ANS RF,7.92,0.0846017684693863,0.0197617205033413,40.441010886919024,Fundo de Renda Fixa,0.0,482186580.52,13.0,0.1227560427238196,0.3442695493409866,1.196525087514949
09.488.688/0001-75,ITAÚ PRIVATE SOBERANO RF SIMPLES FIC FI,7.92,0.0839800589513894,0.0214791421233635,40.609666349778045,Fundo de Renda Fixa,0.2,314194794.58,12.0,0.1265850835699071,0.3507139121062461,1.2119683167867836
00.832.435/0001-00,ITAÚ INSTITUCIONAL RF REF DI FI,7.9,0.0999301858416109,0.0267516629764776,35.50665187617975,Fundo de Renda Fixa,0.18,1141627015.15,9.0,0.1333729980628715,0.3649810225827741,1.279319320419324
03.504.023/0001-21,BB TOP PRINCIPAL RF REF DI LP FI,7.89,0.1006508213698449,0.0230275146633729,39.56638674560342,Fundo de Renda Fixa,0.0,12284541317.34,5.0,0.1347729962138337,0.368739137662921,1.2726064065262412
05.892.566/0001-99,BTGP ACCESS BALANCEADO FIC FIM,7.88,0.1055371887342828,0.0707374732633501,2.876149450286129,Fundo Multimercado,0.35,274237131.66,17.0,0.244900866245983,0.5166297700168909,1.5140488677795894
09.093.883/0001-04,ITAÚ HIGH GRADE RF CP-FDO.DE INVEST.EM COTAS DE FDOS.DE INVESTIMENTO,7.88,0.0875545893772708,0.0282561730793342,34.874123877956194,Fundo de Renda Fixa,0.25,1045667849.19,12.0,0.1298310955185626,0.3630166684885441,1.2919134069510383
17.419.784/0001-90,VÉRTICE FOF MACRO MULTIMERCADO FIC FI,7.88,0.1017498738606454,0.0772465724575297,2.654352632595577,Fundo Multimercado,0.01,2251944531.69,8.0,0.2199183028556082,0.6802994045349957,0.0
11.061.230/0001-87,FI CAIXA TOPÁZIO CORPORATIVO RF REF DI LP,7.88,0.0804882177449658,0.0203986782724345,35.66891525928481,Fundo de Renda Fixa,0.1,5438540578.05,12.0,0.1295232551631497,0.3594312551026182,1.2513339872005051
